País,ano,Continente,quantidade,valor,quantidade_total,valor_total,quantidade_pct,valor_pct,country [país],latitude,longitude
Afeganistão,2008,Ásia,0,0,10346323,7118100,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2009,Ásia,0,0,25514198,8940988,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2010,Ásia,0,0,1280574,2595303,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2011,Ásia,0,0,1214834,3615120,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2012,Ásia,0,0,5775376,5521293,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2013,Ásia,0,0,9149059,22744845,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2014,Ásia,0,0,2324029,7472795,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2015,Ásia,0,0,1198479,2769160,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2016,Ásia,0,0,1786549,4434704,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2017,Ásia,0,0,2889572,7135607,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2018,Ásia,0,0,3856162,7486063,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2019,Ásia,0,0,3152873,5934826,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2020,Ásia,0,0,4409717,6078288,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2021,Ásia,11,46,8058704,9851942,0.00013649837492480182,0.0004669130208034111,AF,33.93911,67.709953
Afeganistão,2022,Ásia,0,0,7025983,10945282,0.0,0.0,AF,33.93911,67.709953
Afeganistão,2023,Ásia,0,0,5538888,8923076,0.0,0.0,AF,33.93911,67.709953
"Alemanha, República Democrática",2008,Europa,265742,429970,10346323,7118100,2.5684680441544305,6.0405164299461935,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2009,Europa,225086,393482,25514198,8940988,0.8821990015128048,4.400878292197685,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2010,Europa,27715,138666,1280574,2595303,2.164263837935176,5.342959954964796,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2011,Europa,36070,144150,1214834,3615120,2.9691299387406014,3.9874195047467302,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2012,Europa,8189,56342,5775376,5521293,0.1417916339992409,1.0204493766224687,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2013,Europa,61699,265978,9149059,22744845,0.6743753647233011,1.1693990440471238,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2014,Europa,213348,761653,2324029,7472795,9.180091986803951,10.192344363788918,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2015,Europa,10680,44780,1198479,2769160,0.8911295066496785,1.617096881364746,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2016,Europa,14012,68109,1786549,4434704,0.784305384291167,1.5358183996045736,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2017,Europa,15467,87702,2889572,7135607,0.5352695831770241,1.2290755362508055,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2018,Europa,10794,45382,3856162,7486063,0.27991562595139935,0.6062198514760029,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2019,Europa,3660,25467,3152873,5934826,0.11608459966513081,0.42911114833021224,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2020,Europa,6261,32605,4409717,6078288,0.14198190042580963,0.5364174912409546,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2021,Europa,2698,6741,8058704,9851942,0.03347932868610139,0.06842305811382161,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2022,Europa,7630,45367,7025983,10945282,0.10859690380691214,0.41448909219515767,Alemanha,51.165691,10.451526
"Alemanha, República Democrática",2023,Europa,4806,31853,5538888,8923076,0.08676831883944937,0.35697331279034267,Alemanha,51.165691,10.451526
Angola,2008,África,25721,71083,10346323,7118100,0.24860039648868493,0.9986232281086246,AO,-11.202692,17.873887
Angola,2009,África,54786,84235,25514198,8940988,0.21472750191873557,0.942121832620735,AO,-11.202692,17.873887
Angola,2010,África,33557,189891,1280574,2595303,2.62046550999786,7.316717932357031,AO,-11.202692,17.873887
Angola,2011,África,13889,69001,1214834,3615120,1.1432837737501584,1.9086779968576422,AO,-11.202692,17.873887
Angola,2012,África,2833,8861,5775376,5521293,0.0490530832970875,0.16048776980319646,AO,-11.202692,17.873887
Angola,2013,África,1573,9300,9149059,22744845,0.017193024987597085,0.04088838591777609,AO,-11.202692,17.873887
Angola,2014,África,12182,23124,2324029,7472795,0.5241759031406235,0.3094424509169595,AO,-11.202692,17.873887
Angola,2015,África,1908,17089,1198479,2769160,0.15920178826662795,0.6171185485851305,AO,-11.202692,17.873887
Angola,2016,África,7359,35390,1786549,4434704,0.41191145610895646,0.798023949287258,AO,-11.202692,17.873887
Angola,2017,África,10170,61680,2889572,7135607,0.3519552376614945,0.8643973806292863,AO,-11.202692,17.873887
Angola,2018,África,477,709,3856162,7486063,0.01236981226411131,0.00947093285215473,AO,-11.202692,17.873887
Angola,2019,África,345,1065,3152873,5934826,0.010942400788106594,0.01794492374334142,AO,-11.202692,17.873887
Angola,2020,África,0,0,4409717,6078288,0.0,0.0,AO,-11.202692,17.873887
Angola,2021,África,0,0,8058704,9851942,0.0,0.0,AO,-11.202692,17.873887
Angola,2022,África,4068,4761,7025983,10945282,0.057899371518547654,0.043498194016380755,AO,-11.202692,17.873887
Angola,2023,África,0,0,5538888,8923076,0.0,0.0,AO,-11.202692,17.873887
Anguilla,2008,América do Norte,0,0,10346323,7118100,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2009,América do Norte,0,0,25514198,8940988,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2010,América do Norte,0,0,1280574,2595303,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2011,América do Norte,0,0,1214834,3615120,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2012,América do Norte,0,0,5775376,5521293,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2013,América do Norte,0,0,9149059,22744845,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2014,América do Norte,0,0,2324029,7472795,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2015,América do Norte,0,0,1198479,2769160,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2016,América do Norte,0,0,1786549,4434704,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2017,América do Norte,0,0,2889572,7135607,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2018,América do Norte,0,0,3856162,7486063,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2019,América do Norte,0,0,3152873,5934826,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2020,América do Norte,0,0,4409717,6078288,0.0,0.0,AI,18.220554,-63.068615
Anguilla,2021,América do Norte,0,0,8058704,9851942,0.0,0.0,AI,18.220554,-63.068615
